Id,Label
Jérôme Azé,Jérôme Azé
Morten Morup,Morten Morup
Yanchi Liu,Yanchi Liu
Alp Atici,Alp Atici
Charles Micchelli,Charles Micchelli
Maxime Gariel,Maxime Gariel
Thomas S. Huang,Thomas S. Huang
Ray Bakhramov,Ray Bakhramov
Ke Chen,Ke Chen
Sumio Watanabe,Sumio Watanabe
Michael Riley,Michael Riley
Fedor Zhdanov,Fedor Zhdanov
Kenneth L. Clarkson,Kenneth L. Clarkson
Ying Cui,Ying Cui
Zizhuo Wang,Zizhuo Wang
Baptiste Jeudy,Baptiste Jeudy
Carsten Wiuf,Carsten Wiuf
Amnon Shashua,Amnon Shashua
Daniel Hsu,Daniel Hsu
Alexey Chernov,Alexey Chernov
Fabrice Guillet,Fabrice Guillet
Abdur Rashid Khan,Abdur Rashid Khan
Mrinal Kanti Ghose,Mrinal Kanti Ghose
Wongkot Sriurai,Wongkot Sriurai
Laurent Bougrain,Laurent Bougrain
Guangwu Xu,Guangwu Xu
Bart Demoen,Bart Demoen
Vladislav Malyshkin,Vladislav Malyshkin
Constantinos Panagiotakopoulos,Constantinos Panagiotakopoulos
Nina Mishra,Nina Mishra
Tomáš Vinař,Tomáš Vinař
Andris Ambainis,Andris Ambainis
Flavien Léger,Flavien Léger
Shie Mannor,Shie Mannor
Leslie Kaelbling,Leslie Kaelbling
Pantelis Bouboulis,Pantelis Bouboulis
M. Ramaswami,M. Ramaswami
Todd Young,Todd Young
Vukosi Marivate,Vukosi Marivate
Vladimir Pestov,Vladimir Pestov
Darío García-García,Darío García-García
Phayung Meesad,Phayung Meesad
Lyle Ungar,Lyle Ungar
Ichiro Takeuchi,Ichiro Takeuchi
Aditya Krishna Menon,Aditya Krishna Menon
Arnaud Ribert,Arnaud Ribert
Sergios Theodoridis,Sergios Theodoridis
Rui Wang,Rui Wang
H. Brendan McMahan,H. Brendan McMahan
Daniel Herrmann,Daniel Herrmann
Barak A. Pearlmutter,Barak A. Pearlmutter
Christos Dimitrakakis,Christos Dimitrakakis
Angelo Cangelosi,Angelo Cangelosi
Yann Esposito,Yann Esposito
Robert E. Schapire,Robert E. Schapire
Howard J. Hamilton,Howard J. Hamilton
Corinna Cortes,Corinna Cortes
Tiberio Caetano,Tiberio Caetano
Massimiliano Pontil,Massimiliano Pontil
Ram Rajagopal,Ram Rajagopal
Amit Singer,Amit Singer
Mihaela van der Schaar,Mihaela van der Schaar
Stéphane Rauzy,Stéphane Rauzy
Daniel Golovin,Daniel Golovin
Ilia Nouretdinov,Ilia Nouretdinov
Sham M. Kakade,Sham M. Kakade
Juan-Manuel Torres-Moreno,Juan-Manuel Torres-Moreno
Akimichi Takemura,Akimichi Takemura
Y. Ireaneus Anna Rejani,Y. Ireaneus Anna Rejani
Silvere Bonnabel,Silvere Bonnabel
Daniel Etzold,Daniel Etzold
Leslie G. Valiant,Leslie G. Valiant
Emmanuel Monfrini,Emmanuel Monfrini
Nando de Freitas,Nando de Freitas
Manqi Zhao,Manqi Zhao
Kenji Fukumizu,Kenji Fukumizu
Wei Gao,Wei Gao
Chuanyi Ji,Chuanyi Ji
Ricardo Henao,Ricardo Henao
Debprakash Patnaik,Debprakash Patnaik
Rahul Dwivedi,Rahul Dwivedi
Daniel Marcu,Daniel Marcu
Wouter M. Koolen,Wouter M. Koolen
Francis Bach,Francis Bach
René Quiniou,René Quiniou
Koji Tsuda,Koji Tsuda
Leonid Aryeh Kontorovich,Leonid Aryeh Kontorovich
Frdéric Alexandre,Frdéric Alexandre
Elad Hazan,Elad Hazan
Elchanan Mossel,Elchanan Mossel
Vincent Rialle,Vincent Rialle
Etienne Grossmann,Etienne Grossmann
Andrey Gorodetsky,Andrey Gorodetsky
Christian Gagné,Christian Gagné
Ohad Shamir,Ohad Shamir
Ryan O'Donnell,Ryan O'Donnell
Ahmed H. Abdel-Gawad,Ahmed H. Abdel-Gawad
Henry Soldano,Henry Soldano
Nicolas Meuleau,Nicolas Meuleau
Paramveer S. Dhillon,Paramveer S. Dhillon
Jason E. Holt,Jason E. Holt
Nicolò Cesa-Bianchi,Nicolò Cesa-Bianchi
Alexander G. Gray,Alexander G. Gray
Georgiana Ifrim,Georgiana Ifrim
Morten Mørup,Morten Mørup
Dipak Kumar Basu,Dipak Kumar Basu
Jennifer Wortman Vaughan,Jennifer Wortman Vaughan
Ming-Chang Lee,Ming-Chang Lee
Nico Jacobs,Nico Jacobs
Zwi Altman,Zwi Altman
Laurent Jacob,Laurent Jacob
Jean-Marc Lasgouttes,Jean-Marc Lasgouttes
Yinyu Ye,Yinyu Ye
Joshua V Dillon,Joshua V Dillon
James Petterson,James Petterson
Yannis Sismanis,Yannis Sismanis
Krishnan Suresh,Krishnan Suresh
Nicholas Mastronarde,Nicholas Mastronarde
Andreas Argyriou,Andreas Argyriou
Aharon Bar-Hillel,Aharon Bar-Hillel
Andri Mirzal,Andri Mirzal
Amir Globerson,Amir Globerson
Charles Elkan,Charles Elkan
Jan Ramon,Jan Ramon
Rémi Gilleron,Rémi Gilleron
Erik Boczko,Erik Boczko
Qingqing Huang,Qingqing Huang
Zoubin Ghahramani,Zoubin Ghahramani
Satyaki Mahalanabis,Satyaki Mahalanabis
Chiranjib Bhattacharyya,Chiranjib Bhattacharyya
Marc Schoenauer,Marc Schoenauer
Hirotaka Niitsuma,Hirotaka Niitsuma
Hal Daume III,Hal Daume III
Jan Struyf,Jan Struyf
Alireza Nowroozi,Alireza Nowroozi
Zhiliang Ying,Zhiliang Ying
Raphael Pelossof,Raphael Pelossof
François Denis,François Denis
David H. Wolpert,David H. Wolpert
Foster Provost,Foster Provost
Victorin Martin,Victorin Martin
Andrei N. Soklakov,Andrei N. Soklakov
Mehryar Mohri,Mehryar Mohri
Arslan Shaukat,Arslan Shaukat
Ramesh Hariharan,Ramesh Hariharan
Raffi Sevlian,Raffi Sevlian
Gabi Pragier,Gabi Pragier
Sergey M. Plis,Sergey M. Plis
Mita Nasipuri,Mita Nasipuri
Qinfeng Shi,Qinfeng Shi
Michèle Sebag,Michèle Sebag
Jean Ponce,Jean Ponce
Subhadip Basu,Subhadip Basu
Jérôme Idier,Jérôme Idier
Umar Syed,Umar Syed
Ashok N. Srivastava,Ashok N. Srivastava
Jon Feldman,Jon Feldman
Tong Zhang,Tong Zhang
Dean Foster,Dean Foster
Thomas M. Breuel,Thomas M. Breuel
Henri Briand,Henri Briand
Jun Zhang,Jun Zhang
Roberto Bonato,Roberto Bonato
Marc Parizeau,Marc Parizeau
Nikolaos Vasiloglou,Nikolaos Vasiloglou
Andrés Almansa,Andrés Almansa
Andrew Guillory,Andrew Guillory
Ido Ginodi,Ido Ginodi
Aleksandrs Slivkins,Aleksandrs Slivkins
Alain Rakotomamonjy,Alain Rakotomamonjy
Vikas Hamine,Vikas Hamine
Marie-Odile Cordier,Marie-Odile Cordier
Kromer Victor,Kromer Victor
Alina Beygelzimer,Alina Beygelzimer
Enrique ter Horst,Enrique ter Horst
Marcus Hutter,Marcus Hutter
Claudia Marinica,Claudia Marinica
T. Tony Cai,T. Tony Cai
Ilias Diakonikolas,Ilias Diakonikolas
Christian Walder,Christian Walder
Mathieu Roche,Mathieu Roche
Dmitry Pechyony,Dmitry Pechyony
Theodoros Evgeniou,Theodoros Evgeniou
Marc Tommasi,Marc Tommasi
Jing-ping Jiang,Jing-ping Jiang
S. V. N. Vishwanathan,S. V. N. Vishwanathan
Mark D. Reid,Mark D. Reid
Alberto Piatti,Alberto Piatti
Glenn Shafer,Glenn Shafer
Shishir Kumar,Shishir Kumar
Andras Lorincz,Andras Lorincz
Nathan Srebro,Nathan Srebro
Wei Wang,Wei Wang
Patrick Erik Bradley,Patrick Erik Bradley
Tom Fawcett,Tom Fawcett
Mirta B. Gordon,Mirta B. Gordon
Jianzhuang Liu,Jianzhuang Liu
Yuan Qi,Yuan Qi
Mihai Cucuringu,Mihai Cucuringu
Rémi Munos,Rémi Munos
Tariq R. Jan,Tariq R. Jan
Huan Xu,Huan Xu
Fernando Díaz-de-María,Fernando Díaz-de-María
R. Bhaskaran,R. Bhaskaran
Samarjeet Borah,Samarjeet Borah
John N. Tsitsiklis,John N. Tsitsiklis
Venkatesh Saligrama,Venkatesh Saligrama
Adam Siepel,Adam Siepel
Farzad Didehvar,Farzad Didehvar
Niranjan Srinivas,Niranjan Srinivas
Nick Palmer,Nick Palmer
Unathi Mahola,Unathi Mahola
Lars Kai Hansen,Lars Kai Hansen
Srivatsan Laxman,Srivatsan Laxman
Noboru Murata,Noboru Murata
Florence Duchene,Florence Duchene
Guoshen Yu,Guoshen Yu
Naren Ramakrishnan,Naren Ramakrishnan
Adam R. Klivans,Adam R. Klivans
Vamsi K. Potluru,Vamsi K. Potluru
Véronique Ventos,Véronique Ventos
Francois Denis,Francois Denis
Ping Li,Ping Li
David P. Woodruff,David P. Woodruff
Yew-Soon Ong,Yew-Soon Ong
Deepshikha Pandey,Deepshikha Pandey
Dominik Janzing,Dominik Janzing
Le Song,Le Song
David Soloveichik,David Soloveichik
Jan Poland,Jan Poland
Masayuki Karasuyama,Masayuki Karasuyama
Ravikumar Kondadadi,Ravikumar Kondadadi
Catherine Garbay,Catherine Garbay
B. Abe,B. Abe
Dominique Bouthinon,Dominique Bouthinon
Xudong Ma,Xudong Ma
Pablo Musé,Pablo Musé
Hui Xiong,Hui Xiong
Masashi Furukawa,Masashi Furukawa
Kee Siong Ng,Kee Siong Ng
Berna Sayrac,Berna Sayrac
Mahantapas Kundu,Mahantapas Kundu
Feng Yan,Feng Yan
Julien Mairal,Julien Mairal
Rocco A. Servedio,Rocco A. Servedio
Matthias Seeger,Matthias Seeger
Vlad M. Cora,Vlad M. Cora
Ivor W. Tsang,Ivor W. Tsang
Ambuj Tewari,Ambuj Tewari
Mithun Das Gupta,Mithun Das Gupta
John Langford,John Langford
Sanjoy Dasgupta,Sanjoy Dasgupta
Fulufhelo V. Nelwamondo,Fulufhelo V. Nelwamondo
Minh-Ngoc Tran,Minh-Ngoc Tran
Broňa Brejová,Broňa Brejová
Marco Cuturi,Marco Cuturi
Henryk Gzyl,Henryk Gzyl
Chun-Wei Seah,Chun-Wei Seah
Zeyuan Allen Zhu,Zeyuan Allen Zhu
Aleksandr Simma,Aleksandr Simma
Karsten M. Borgwardt,Karsten M. Borgwardt
Marco Zaffalon,Marco Zaffalon
Elisa Fromont,Elisa Fromont
Karsten Borgwardt,Karsten Borgwardt
Afshin Rostamizadeh,Afshin Rostamizadeh
Philippe Preux,Philippe Preux
Alexander Gammerman,Alexander Gammerman
Zhi-Hua Zhou,Zhi-Hua Zhou
Mitchell Keith Bloch,Mitchell Keith Bloch
Jieping Ye,Jieping Ye
Cynthia Rudin,Cynthia Rudin
S. Kannan,S. Kannan
Rémi Flamary,Rémi Flamary
Ankit Garg,Ankit Garg
Brian K. Vogel,Brian K. Vogel
Yves Lecourtier,Yves Lecourtier
Shai Shalev-Shwartz,Shai Shalev-Shwartz
Nicol N. Schraudolph,Nicol N. Schraudolph
Eric Feron,Eric Feron
Jan Arpe,Jan Arpe
Nick Barnes,Nick Barnes
Ruslan Salakhutdinov,Ruslan Salakhutdinov
Kiyoshi Asai,Kiyoshi Asai
Arthur Gretton,Arthur Gretton
Joel Veness,Joel Veness
Christian Savu-Krohn,Christian Savu-Krohn
Liat Ein-Dor,Liat Ein-Dor
Yan He,Yan He
Terran Lane,Terran Lane
A. Gidudu,A. Gidudu
Jeff Bilmes,Jeff Bilmes
Kamran Karimi,Kamran Karimi
François Rioult,François Rioult
Gilles Meyer,Gilles Meyer
Yuri Kalnishkan,Yuri Kalnishkan
Lihong Li,Lihong Li
Lev Reyzin,Lev Reyzin
Andrew DiLullo,Andrew DiLullo
Vinay Jethava,Vinay Jethava
Guy Lebanon,Guy Lebanon
Mariano Tepper,Mariano Tepper
José F. Fontanari,José F. Fontanari
Daniel Stefankovic,Daniel Stefankovic
Paul Kidwell,Paul Kidwell
Yves Kodratoff,Yves Kodratoff
Michael G. Madden,Michael G. Madden
Kamalika Chaudhuri,Kamalika Chaudhuri
David V. Anderson,David V. Anderson
Giltae Song,Giltae Song
Marco Tomassini,Marco Tomassini
Vincent K. N. Lau,Vincent K. N. Lau
Masashi Sugiyama,Masashi Sugiyama
Nikos Karampatziakis,Nikos Karampatziakis
Bo Wang,Bo Wang
Irina Nesterenko,Irina Nesterenko
Daniel Lemire,Daniel Lemire
Ran Gilad-Bachrach,Ran Gilad-Bachrach
Eddie White,Eddie White
Choochart Haruechaiyasak,Choochart Haruechaiyasak
S. Thamarai Selvi,S. Thamarai Selvi
Nibaran Das,Nibaran Das
Hanna Mazzawi,Hanna Mazzawi
Tshilidzi Marwala,Tshilidzi Marwala
Benjamin Labbé,Benjamin Labbé
Toshinao Akuzawa,Toshinao Akuzawa
Vladimir Vovk,Vladimir Vovk
Ricardo Silva,Ricardo Silva
Hal Daumé III,Hal Daumé III
Amir Masoud Rahmani,Amir Masoud Rahmani
Guillermo Sapiro,Guillermo Sapiro
Nader H. Bshouty,Nader H. Bshouty
Sung-eok Jeon,Sung-eok Jeon
Amaury Habrard,Amaury Habrard
Abdel Ennaji,Abdel Ennaji
Cédric Févotte,Cédric Févotte
Matthew Streeter,Matthew Streeter
Takashi Okada,Takashi Okada
Dev G. Rajnarayan,Dev G. Rajnarayan
Paul Helman,Paul Helman
Daniil Ryabko,Daniil Ryabko
Imre Risi Kondor,Imre Risi Kondor
Vladimir V. V'yugin,Vladimir V. V'yugin
K. P. Unnikrishnan,K. P. Unnikrishnan
Krishna Asawa,Krishna Asawa
Paat Rusmevichientong,Paat Rusmevichientong
Yann Guermeur,Yann Guermeur
Mashalla Abbasi Dezfouli,Mashalla Abbasi Dezfouli
Zhihui Hao,Zhihui Hao
Justin Bedo,Justin Bedo
Rodolphe Sepulchre,Rodolphe Sepulchre
Édouard Gilbert,Édouard Gilbert
L. S. S. Reddy,L. S. S. Reddy
Lesedi Masisi,Lesedi Masisi
Eric Brochu,Eric Brochu
David Silver,David Silver
Jun Liu,Jun Liu
Qiang Li,Qiang Li
Karthik Sridharan,Karthik Sridharan
T. Marwala,T. Marwala
